,state_code,city,name,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status
24,2,103,24,2007,2012,2008,2009,1,2,4,4,3,2,0.22218928,1,1,0,0,0,0,23,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,0
25,32,154,25,2001,#N/A,2005,2006,4,5,3,3,6,2,0.181941437,1,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1
26,18,50,26,2006,2012,2006,2008,0,2,3,4,9,2,0.105682364,0,0,0,0,0,1,31,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0
27,2,144,27,2011,#N/A,2011,2011,0,0,0,2,3,2,0.048593954,2,1,0,0,0,0,19,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,1
28,26,124,28,2009,2012,2009,2009,0,0,3,4,2,1,0.000296563,0,0,0,0,0,1,28,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
29,23,111,29,2004,2008,2007,2007,2,2,0,0,1,1,0.084499289,1,0,1,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
30,2,144,30,2007,2011,2007,2008,0,1,1,4,8,2,0.30903989,3,1,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0
31,2,146,31,2005,2013,2006,2010,1,5,3,4,0,3,0.931822313,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,4,1,0
32,2,144,32,2008,#N/A,2008,2011,0,2,0,4,10,3,0.038382081,3,1,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,1,1
33,19,93,33,2011,#N/A,2011,2012,0,0,0,0,9,2,0.002414871,2,0,0,0,0,1,19,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
34,2,98,34,2008,2011,2008,2010,0,2,2,2,7,2,0.084499289,2,1,0,0,0,0,33,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0
35,32,154,35,2004,#N/A,2007,2007,3,3,5,8,10,1,0.211597742,3,0,0,0,0,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1
36,2,162,36,2003,#N/A,2005,2005,2,2,3,4,4,1,0.529343877,0,1,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,1
37,23,111,37,2009,#N/A,2010,2012,0,2,0,2,2,3,0.07920352,3,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,1,1
38,12,30,38,2009,#N/A,2010,2010,0,0,1,1,9,1,0.063316213,2,0,0,1,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
39,2,144,39,2010,#N/A,2010,2011,0,1,1,1,6,2,0.024233439,2,1,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,1,1
40,2,147,40,2002,#N/A,2005,2005,3,3,5,7,11,1,0.211597742,2,1,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1
41,2,158,41,2006,#N/A,2008,2008,2,2,2,2,5,1,0.063316213,1,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
42,12,22,42,2009,#N/A,2010,2011,1,2,2,3,4,2,0.243372356,3,0,0,1,0,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
43,29,11,43,2004,#N/A,2005,2005,0,0,4,8,12,1,0.105682364,5,0,0,0,1,0,34,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1
44,12,173,44,2000,#N/A,2005,2006,5,6,7,7,9,2,0.614076179,1,0,0,1,0,0,25,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5,1,1
45,2,120,45,2004,2009,2005,2007,1,3,3,4,0,2,0.255023047,0,1,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0
46,2,120,46,2006,#N/A,2008,2010,2,4,4,6,13,3,0.253963894,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2,1,1
47,2,5,47,2005,#N/A,2009,2009,4,4,1,1,18,1,0.116273902,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,1
48,2,162,48,2007,#N/A,2009,2011,1,4,2,5,10,3,0.508160801,4,1,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,1
49,2,144,49,2005,2011,2008,2008,3,3,3,3,6,1,0.105682364,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
50,32,76,50,2001,#N/A,2005,2010,4,9,6,6,2,5,0.40043588,1,0,0,0,0,1,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,1,1
51,6,163,51,2001,2012,2007,2007,6,6,3,4,0,1,0.084499289,0,0,0,0,0,1,31,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0
52,12,22,52,2008,#N/A,2010,2011,1,2,1,3,5,3,0.042787313,2,0,0,1,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1
53,2,3,53,2006,#N/A,2008,2008,2,2,0,7,4,1,0.105682364,2,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1
54,32,23,54,1999,2012,2001,2001,1,1,3,4,5,1,0.434020036,0,0,0,0,0,1,31,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0
55,3,24,55,2006,#N/A,2010,2012,3,6,4,7,4,2,0.280442738,4,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1
56,2,147,56,2000,#N/A,2007,2007,7,7,7,7,7,1,0.253963894,1,1,0,0,0,0,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1
57,2,144,57,2005,#N/A,2007,2008,1,3,3,3,9,3,0.243153895,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,3,1,1
58,2,144,58,2008,#N/A,2008,2008,0,0,2,4,15,1,0.084499289,3,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1
59,2,162,59,2012,#N/A,2012,2012,0,0,0,0,3,1,0.007286978,1,1,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
60,6,163,60,2006,#N/A,2006,2006,0,0,2,5,10,2,0.002266589,3,0,0,0,0,1,34,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
61,29,46,61,2007,2008,2008,2008,1,1,3,4,1,1,0.063316213,0,0,0,0,1,0,31,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
62,2,61,62,2003,2008,2005,2007,2,4,1,1,2,2,0.417073576,1,1,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,1,0
63,23,111,63,2006,#N/A,2006,2009,0,3,2,5,10,3,0.364115887,5,0,1,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,2,1,1
64,2,144,64,2010,#N/A,2010,2012,0,2,2,3,11,4,0.391653885,3,1,0,0,0,0,19,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,1
65,20,129,65,2008,2012,2010,2010,2,2,3,4,2,1,0.253963894,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,1,0
66,2,105,66,2002,#N/A,2005,2006,3,4,4,4,3,2,0.386358116,1,1,0,0,0,0,27,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,1
67,23,111,67,2004,#N/A,2006,2010,2,5,3,7,13,4,0.878865027,5,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,1,1
68,34,74,68,2000,2009,2005,2005,5,5,3,4,1,1,0.020950062,0,0,0,0,0,1,31,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0
69,2,89,69,2006,#N/A,2007,2007,1,1,1,2,7,1,0.105682364,2,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
70,15,32,70,2001,2013,2008,2011,7,10,0,0,2,3,0.904284315,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3,1,0
71,2,105,71,2013,2005,2013,2013,0,0,3,4,7,1,0.253963894,0,1,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,9,1,0
72,32,15,72,2003,#N/A,2005,2006,2,3,3,9,5,2,0.472149573,2,0,0,0,0,1,31,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,1,1
73,2,151,73,2002,#N/A,2006,2009,4,7,0,0,5,2,0.211597742,1,1,0,0,0,0,29,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,4,1,1
74,5,175,74,2005,2010,2006,2009,1,4,3,4,1,3,0.329472894,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,3,1,0
75,2,144,75,2007,#N/A,2009,2009,2,2,2,4,7,1,0.010358524,2,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,1
76,2,105,76,2002,2010,2005,2005,3,3,3,4,1,1,0.084499289,0,1,0,0,0,0,25,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,0
77,9,40,77,2006,#N/A,2007,2012,1,6,3,4,3,5,0.227788454,3,0,0,0,0,1,31,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,1
78,20,156,78,2007,2012,2008,2008,1,1,0,0,1,1,0.116273902,1,0,0,0,0,1,31,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0
79,2,144,79,2008,#N/A,2012,2012,4,4,2,5,7,1,0.008240216,2,1,0,0,0,0,30,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,1,1
80,32,154,80,2000,#N/A,2005,2005,5,5,3,4,1,1,0.275146969,0,0,0,0,0,1,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1
81,32,15,81,2005,#N/A,2005,2006,0,1,3,4,5,3,0.264555431,0,0,0,0,0,1,31,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,1,1
82,2,146,82,2004,#N/A,2006,2012,2,8,1,8,16,4,0.806091651,2,1,0,0,0,0,28,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,3,1,1
83,31,38,83,2006,2012,2008,2011,2,4,0,5,4,2,0.105682364,6,0,0,0,0,1,34,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
84,9,40,84,2011,2013,2012,2012,1,1,0,1,2,1,0.020950062,2,0,0,0,0,1,34,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
85,2,144,85,2007,#N/A,2009,2009,2,2,0,6,5,1,0.012476832,3,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1,1
86,2,152,86,2007,#N/A,2007,2009,0,2,3,6,11,2,0.058020444,3,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,1,1
87,2,151,87,2003,#N/A,2005,2007,2,4,3,4,1,2,0.635259255,0,1,0,0,0,0,21,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,1
88,2,100,88,2003,2012,2007,2007,4,4,3,4,0,1,0.148048516,0,1,0,0,0,0,29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
89,2,98,89,2006,#N/A,2006,2006,0,0,0,2,10,1,0.128983747,2,1,0,0,0,0,27,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,1,1
90,2,143,90,2010,2013,2011,2012,0,1,2,2,12,3,0.044251445,2,1,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,4,1,0
91,2,144,91,2009,#N/A,2009,2010,0,0,0,3,10,2,0.054101575,3,1,0,0,0,0,19,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,1
92,18,133,92,2003,#N/A,2005,2008,2,5,2,2,3,3,0.47426788,1,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,3,1,1
93,23,111,93,2005,#N/A,2006,2006,1,1,6,6,12,1,0.132161209,1,0,1,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
94,23,111,94,2010,#N/A,2011,2011,1,1,1,2,4,1,0.011947255,2,0,1,0,0,0,34,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,1
95,12,157,95,2009,2012,2009,2010,0,0,0,0,1,2,0.000889689,1,0,0,1,0,0,34,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
96,2,135,96,2006,#N/A,2006,2008,0,2,3,3,6,2,0.201006205,2,1,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,1,1
97,29,11,97,2009,2013,2009,2010,0,0,1,0,7,2,0.073907751,2,0,0,0,1,0,9,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
98,23,111,98,2009,#N/A,2010,2011,0,1,0,3,14,3,0.22218928,3,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,6,1,1
99,2,61,99,2008,#N/A,2008,2012,0,4,2,4,14,4,0.725287326,2,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,2,1,1
100,26,124,100,2009,2013,2008,2010,1,1,0,1,3,2,0.002414871,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0
101,31,136,101,2003,2008,2005,2007,2,4,0,0,2,2,0.224307588,1,0,0,0,0,1,19,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,0
102,2,61,102,2004,#N/A,2006,2009,2,5,2,2,2,3,0.55264526,1,1,0,0,0,0,29,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3,1,1
103,9,40,103,2010,2012,2011,2012,1,1,1,1,6,3,0.002581899,2,0,0,0,0,1,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
104,2,151,104,2006,#N/A,2007,2010,0,4,0,4,9,3,0.201006205,2,1,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,1
105,2,120,105,2000,#N/A,2006,2006,6,6,6,6,9,1,0.381062347,1,1,0,0,0,0,21,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,1,1
106,24,41,106,2010,2012,2011,2011,1,1,1,1,4,1,0.014383308,1,0,0,0,0,1,34,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0
107,7,10,107,2001,#N/A,2006,2007,5,6,3,4,1,3,0.532131802,0,0,0,0,0,1,19,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1
108,2,146,108,2007,2013,2010,2010,3,3,3,4,1,1,0.042133137,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
109,2,144,109,2005,2013,2005,2005,0,0,5,8,12,1,0.31751312,2,1,0,0,0,0,21,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0
110,2,144,110,2005,#N/A,2005,2007,0,2,2,2,6,2,0.31751312,1,1,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,1
111,23,111,111,2004,2009,2006,2007,2,3,3,5,8,3,0.953005389,3,0,1,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
112,2,151,112,2006,#N/A,2008,2008,1,1,2,2,4,1,0.09318435,1,1,0,0,0,0,19,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
113,31,160,113,2010,#N/A,2010,2010,0,0,2,2,9,2,0.095090826,2,0,0,0,0,1,34,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1
114,2,144,114,2007,#N/A,2008,2010,1,3,4,5,11,3,0.233628141,2,1,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,1
115,2,144,115,2009,#N/A,2010,2010,1,1,1,2,6,1,0.033659907,2,1,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,1
116,23,111,116,2002,#N/A,2005,2005,3,3,7,7,3,2,0.190414667,1,0,1,0,0,0,31,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,1,1
117,2,147,117,2010,#N/A,2011,2012,1,2,0,3,4,3,0.069296767,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,1
118,7,10,118,2002,2010,2007,2008,5,6,3,4,2,2,0.186178052,0,0,0,0,0,1,29,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0
119,2,89,119,2007,2010,2008,2008,1,1,0,0,1,1,0.035778215,1,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
120,2,119,120,2010,2013,2010,2010,0,0,0,0,1,1,0.000190648,2,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
121,2,61,121,2005,#N/A,2008,2009,3,4,5,8,10,2,0.243372356,5,1,0,0,0,0,19,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1
122,2,144,122,2010,#N/A,2011,2011,1,1,0,2,2,1,0.028364138,3,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,1,1
123,9,40,123,2005,#N/A,2010,2010,4,4,2,6,17,1,0.019684606,2,0,0,0,0,1,31,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
124,12,22,124,2007,#N/A,2009,2011,1,3,3,3,12,2,0.084499289,3,0,0,1,0,0,34,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,1
125,2,162,125,2008,2012,2009,2009,1,1,1,1,5,1,0.105682364,1,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
126,31,9,126,2009,2012,2009,2009,0,0,0,0,3,1,0.000190648,1,0,0,0,0,1,34,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
127,32,154,127,2002,#N/A,2006,2006,4,4,3,3,5,1,0.264555431,1,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,1
128,3,35,128,2009,2013,2010,2013,1,4,1,1,0,5,0.15289317,2,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,1,0
129,2,147,129,2004,#N/A,2006,2010,2,6,3,4,5,4,0.321326074,0,1,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1
130,2,146,130,2008,2012,2010,2011,2,3,2,4,4,2,0.635259255,2,1,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0
131,29,11,131,2006,#N/A,2008,2008,2,2,3,4,11,2,0.306921583,3,0,0,0,1,0,21,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1
132,2,144,132,2009,#N/A,2011,2011,2,2,2,4,6,1,0.137456978,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1,1
133,28,97,133,2012,2013,2012,2012,0,0,0,0,2,1,8.47323E-05,1,0,0,0,0,1,34,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
134,23,111,134,2009,#N/A,2010,2013,0,3,1,4,5,5,0.099452634,3,0,1,0,0,0,19,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,1
135,2,28,135,2008,#N/A,2010,2010,2,2,3,4,6,1,0.063316213,2,1,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1
136,23,111,136,2008,2013,2008,2012,0,4,2,3,8,4,0.030482403,3,0,1,0,0,0,30,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0
137,12,30,137,2011,#N/A,2011,2012,0,1,0,2,5,2,0.12686544,3,0,0,1,0,0,19,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,6,1,1
138,16,126,138,2005,#N/A,2007,2011,2,6,3,4,7,3,0.597129719,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,3,1,1
139,2,144,139,2005,#N/A,2008,2010,3,4,5,5,5,2,0.296330045,1,1,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,1
140,29,11,140,2007,2009,2009,2009,1,1,2,2,14,1,0.063316213,2,0,0,0,1,0,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
141,32,154,141,2010,2013,2011,2011,1,1,0,0,6,2,0.047175874,1,0,0,0,0,1,9,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
142,2,144,142,2010,2013,2011,2012,0,2,1,2,5,2,0.109918979,2,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0
143,12,109,143,2006,2012,2007,2010,0,3,4,5,13,4,0.518752339,4,0,0,1,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0
144,2,113,144,2002,2012,2006,2010,4,8,3,4,3,3,0.094586055,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,1,0
145,2,135,145,2004,#N/A,2006,2008,2,4,3,4,13,2,0.321749736,0,1,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1
146,23,111,146,2011,2013,2011,2012,0,1,3,4,2,2,0.018619923,0,0,1,0,0,0,19,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0
147,9,107,147,2009,#N/A,2012,2012,3,3,3,4,7,1,0.025743156,2,0,0,0,0,1,9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
148,2,122,148,2002,#N/A,2008,2010,6,8,6,6,5,2,0.190414667,1,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
