Startup Data
name,city,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_first_milestone_year,funding_rounds,funding_total_usd,category_code,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status
Scalent Systems,Palo Alto,1/1/2003,,1/22/2007,1/22/2007,4.0603,3.0027,1,15000000,public_relations,0,0,0,0,1,0,4.0,1,acquired
IQ Engines,Berkeley,6/1/2008,,6/25/2012,6/25/2012,4.0685,3.4192,1,3800000,photo_video,0,0,0,1,0,0,2.0,1,acquired
"RetailMeNot, Inc.",Austin,5/1/2007,,11/1/2009,11/10/2011,2.5068,4.9315,5,299500000,web,1,0,1,0,1,0,1.75,1,acquired
Mophie,Santa Ana,5/24/2005,,8/1/2006,8/1/2006,1.189,2.189,1,1000000,hardware,1,0,0,0,0,0,2.0,1,acquired
Airship Ventures,Moffett Field,1/1/2007,11/14/2012,5/9/2008,3/1/2009,1.3534,4.5178,2,10500000,other,0,0,1,1,0,0,2.0,1,closed
Lockdown Networks,Seattle,1/1/2001,,2/25/2005,3/2/2006,4.1534,3.0,2,8600000,public_relations,1,0,0,1,0,0,1.5,1,acquired
eMinor,Durham,10/1/2006,2/17/2012,8/1/2006,10/7/2008,-0.1671,,2,5000000,software,0,0,1,1,0,0,2.5,1,closed
Karma,San Francisco,1/1/2011,,1/1/2011,11/14/2011,0.0,0.4137,2,2304999,mobile,1,0,0,0,0,0,5.0,1,acquired
Zipano,Pittsburgh,6/1/2009,5/27/2012,7/1/2009,7/1/2009,0.0822,,1,25000,security,0,1,0,0,0,0,1.0,0,closed
Entertainment Media Works,New York,7/1/2004,10/1/2008,2/26/2007,2/26/2007,2.6575,0.0,1,4000000,software,0,0,0,1,0,0,1.0,1,closed
Elastra,San Francisco,1/1/2007,1/28/2011,8/15/2007,8/5/2008,0.6192,1.0,2,14600000,software,0,0,1,1,0,0,2.0,1,closed
RPO,San Jose,1/1/2005,6/1/2013,1/24/2006,9/13/2010,1.063,,3,44000000,hardware,0,0,0,1,1,0,4.5,1,closed
Fotomoto,San Francisco,10/1/2008,,12/1/2008,5/26/2011,0.1671,0.6082,3,1822922,ecommerce,0,1,1,0,0,0,2.3333,1,acquired
Peer39,New York,3/1/2006,,3/1/2006,1/24/2012,0.0,3.8411,7,29915001,advertising,1,1,1,1,1,0,2.75,1,acquired
Vitrue,Atlanta,5/1/2006,,5/1/2006,2/17/2011,0.0,3.7205,4,33000000,enterprise,0,0,1,1,1,0,3.0,1,acquired
Trendslide,Manchester,8/1/2011,,8/1/2011,3/1/2012,0.0,0.5836,2,125000,mobile,0,1,0,0,0,0,1.0,0,acquired
PublicEarth,Menlo Park,1/1/2008,2/15/2011,2/8/2008,5/21/2010,0.1041,2.3315,2,4000000,travel,1,0,1,0,0,0,1.0,1,closed
Azaleos,Seattle,5/11/2004,,11/6/2007,11/6/2007,3.4904,5.6603,1,10000000,enterprise,0,0,0,0,1,0,2.0,1,acquired
Efficient Frontier,Sunnyvale,1/1/2002,,8/31/2006,8/31/2006,4.6658,8.7425,1,6000000,advertising,0,0,0,0,1,0,3.0,1,acquired
NetDevices,Sunnyvale,1/1/2003,,8/16/2005,8/16/2005,2.6247,,1,25000000,software,0,0,0,1,0,0,5.0,1,acquired
Go Try It On,New York,12/1/2009,,11/4/2010,11/13/2012,0.926,0.8329,3,3750000,fashion,0,1,1,0,0,0,2.0,1,acquired
Performable,Cambridge,10/17/2009,,1/15/2010,1/15/2010,0.2466,1.1178,1,3000000,software,0,0,1,0,0,0,1.0,1,acquired
Appstores.com,San Francisco,5/24/2010,,8/1/2010,8/1/2011,0.189,1.3562,2,1155000,software,0,1,0,0,0,0,9.5,1,acquired
Fortify Software,San Mateo,10/1/2002,,12/15/2005,12/15/2005,3.2082,5.2548,1,10000000,software,0,0,0,0,0,1,2.0,1,acquired
iCurrent,South San Francisco,1/1/2006,,8/1/2008,8/1/2008,2.5836,2.0,1,3000000,web,0,0,1,0,0,0,1.0,1,acquired
AisleBuyer,Boston,1/1/2009,,11/23/2010,6/13/2011,1.8932,2.0,2,11500000,mobile,0,0,0,0,0,0,1.0,1,acquired
Indeed,Austin,11/1/2004,,8/1/2005,8/1/2005,0.7479,4.0493,1,5000000,web,0,0,1,0,0,0,3.0,1,acquired
Colubris Networks,Waltham,1/1/2000,,3/8/2005,10/23/2006,5.1863,7.3342,2,29000000,public_relations,1,0,0,0,0,1,5.0,1,acquired
Mashery,San Francisco,5/1/2006,,1/1/2007,7/23/2012,0.6712,4.0493,6,34700000,enterprise,1,1,1,1,1,1,5.0,1,acquired
Transparency Software,Palo Alto,1/1/2004,1/1/2009,3/9/2005,7/1/2007,1.1863,,2,12050000,software,1,0,1,0,0,0,2.0,1,closed
Viewdle,Palo Alto,1/1/2006,,3/1/2008,10/5/2010,2.1644,4.0027,3,12000000,analytics,1,0,1,1,0,0,2.0,1,acquired
Enclarity,Aliso Viejo,2/1/2005,,3/10/2009,3/10/2009,4.1041,1.9151,1,5500000,consulting,0,0,0,0,1,0,2.0,1,acquired
Virsto Software,Sunnyvale,7/1/2007,,6/26/2009,8/25/2011,1.989,2.8986,3,24000000,software,0,0,1,1,0,0,3.3333,1,acquired
Handmark,Kansas City,7/1/2000,,9/12/2005,9/7/2006,5.2027,7.5068,2,10000000,mobile,0,0,1,1,0,0,4.5,1,acquired
Viacor,Wilmington,12/1/1999,11/11/2011,9/12/2002,11/10/2010,2.7836,-1.9151,3,19009671,biotech,0,0,0,1,0,0,2.0,1,closed
Carbonetworks,San Francisco,1/1/2005,7/28/2011,7/1/2008,7/1/2008,3.4986,3.0,1,5000000,cleantech,0,0,1,0,0,0,1.0,1,closed
SchemaLogic,Kirkland,1/1/2001,,1/17/2005,4/20/2010,4.0466,6.0027,5,18914576,enterprise,1,0,0,0,1,0,3.0,1,acquired
Skyway Software,Tampa,1/1/2001,10/1/2012,5/16/2007,5/16/2007,6.3726,,1,4000000,software,1,0,0,0,0,0,3.0,0,closed
CardStar,Boston,12/1/2008,,3/30/2010,9/13/2011,1.3260000000000000,1.6740000000000000,3,2030882,software,0,0,1,0,0,0,3.0,1,acquired
Makani Power,Alameda,1/1/2006,,8/23/2008,8/23/2008,2.6438,0.0,1,5000000,cleantech,0,0,0,1,0,0,1.0,1,acquired
Myrio,Bothell,12/1/1999,1/1/2012,1/1/2001,1/1/2001,1.0877,,1,20500000,software,1,0,0,0,0,0,4.0,1,closed
Intela,Boulder,2/2/2006,,1/18/2010,8/9/2012,3.9616,4.5781,2,13250000,advertising,1,0,0,0,0,0,2.0,0,acquired
Sana Security,San Mateo,1/1/2000,,4/2/2007,4/2/2007,7.2548,7.0055,1,12000000,security,0,0,0,0,0,0,2.0,1,acquired
Sportgenic,San Francisco,9/1/2005,,1/1/2007,9/9/2008,1.3342,3.0219,3,11489687,advertising,0,1,1,1,0,0,3.3333,1,acquired
Lolapps,San Francisco,1/1/2008,,9/5/2008,9/5/2008,0.6795,2.9178,1,4000000,web,0,0,1,0,0,0,3.0,1,acquired
Behavio,Sunnyvale,6/12/2012,,6/1/2012,6/1/2012,-0.0301,0.13700000000000000,1,355000,software,0,1,0,0,0,0,1.0,0,acquired
Infinity Box,Tampa,1/1/2006,,1/1/2006,4/1/2006,0.0,2.4164,2,118000,web,0,1,0,0,0,0,1.5,1,acquired
adBrite,San Francisco,1/1/2003,2/1/2001,9/1/2004,5/1/2012,1.6685,7.3808,4,40400000,advertising,0,0,1,1,1,1,1.6667,1,acquired
Texert,Dallas,1/1/2007,7/14/2008,10/21/2008,10/21/2008,1.8055,,1,3000000,software,0,0,1,0,0,0,1.0,1,closed
Mendocino Software,Fremont,1/1/2003,2/7/2008,9/12/2005,1/1/2007,2.6986,1.0,2,19700000,software,1,0,0,1,0,0,4.0,1,closed
QuikCycle,Santa Clara,1/1/1998,1/1/2011,3/1/2007,3/12/2007,9.1671,,2,17800000,software,1,0,0,0,0,0,1.0,1,closed
Instagram,San Francisco,3/1/2010,,3/5/2010,4/5/2012,0.011,3.0904,3,57500000,photo_video,0,1,1,1,0,0,4.0,1,acquired
Motionbox,New York,1/1/2006,,9/1/2006,1/14/2009,0.6658,2.0,3,17200000,games_video,0,0,1,1,1,0,2.6667,1,acquired
AccelGolf,Cambridge,8/1/2008,5/1/2013,1/1/2008,12/4/2009,-0.5836,0.0,7,457282,mobile,1,1,0,0,0,0,1.0,1,closed
MoPub,San Francisco,9/9/2010,,9/1/2010,9/20/2012,-0.0219,2.3151,4,18500000,mobile,0,1,1,1,0,0,2.25,1,acquired
DNP Green Technology,Princeton,1/1/2008,8/24/2012,1/17/2010,1/17/2010,2.0466,,1,12000000,cleantech,0,0,1,0,0,0,6.0,1,closed
Abound Solar,Loveland,1/1/2007,11/1/2012,7/6/2010,12/15/2010,3.5123,3.9534,2,510000000,cleantech,1,0,0,0,0,0,2.5,1,closed
Trovix,Mountain View,1/1/2002,,12/7/2005,9/6/2006,3.9342,4.0027,2,18250000,search,0,0,1,1,0,0,2.5,1,acquired
Thumbplay,New York,9/1/2004,,10/30/2006,4/21/2010,2.1616,3.8329,4,41500019,music,0,0,0,0,1,0,4.0,1,acquired
Plethora Technology,Kearneysville,1/1/2000,5/23/2009,6/9/2005,6/9/2005,5.4411,,1,1000000,software,0,0,1,0,0,0,3.0,0,closed
DailyStrength,Los Angeles,4/1/2006,,5/18/2007,5/18/2007,1.1288,1.0,1,5000000,web,0,0,1,0,0,0,1.0,1,acquired
Danotek Motion Technologies,Canton,1/1/2001,5/1/2013,11/19/2008,8/30/2011,7.8877,0.4137,3,42700000,cleantech,1,0,0,1,0,0,3.6667,1,closed
Yub,Mountain View,1/1/2013,1/1/2005,11/19/2013,11/19/2013,0.8822,,1,12000000,ecommerce,1,0,0,0,0,0,9.0,1,closed
SNAPin Software,Bellevue,1/1/2003,,7/11/2005,2/7/2006,2.526,3.0027,2,22300000,software,0,0,0,1,1,0,4.5,1,acquired
Azuro,Santa Clara,1/1/2002,,1/1/2006,11/13/2009,4.0027,0.1616,2,10000000,semiconductor,1,0,0,1,0,0,4.0,1,acquired
ARPU,Washington,5/1/2005,5/4/2010,7/1/2006,12/29/2009,1.1671,,3,15564591,advertising,1,0,0,1,1,0,3.5,1,closed
BookFresh,San Francisco,1/1/2007,,7/28/2009,7/28/2009,2.5726,2.4795,1,500000,web,0,1,0,0,0,0,5.0,1,acquired
Singly,San Francisco,12/21/2010,,2/1/2011,4/23/2012,0.1151,1.8329,2,8950000,analytics,0,0,1,0,0,0,7.0,1,acquired
TxVia,New York,1/1/2006,,10/1/2007,10/26/2010,1.7479,4.0027,4,55350000,finance,0,0,1,1,1,1,4.0,1,acquired
Blue Vector Systems,Mountain View,1/1/2002,8/31/2010,9/21/2005,9/21/2005,3.7233,,1,4000000,public_relations,0,0,0,1,0,0,3.0,1,closed
Open Kernel Labs,Chicago,1/1/2006,,9/13/2007,7/6/2012,1.6986,3.2849,5,10764323,software,1,0,1,0,0,0,2.0,1,acquired
Elanti Systems,Somerset,1/1/2007,2/11/2012,5/29/2008,5/29/2008,1.4082,0.0,1,5500000,software,1,0,0,0,0,0,3.0,1,closed
Astrid,San Francisco,1/1/2008,,4/13/2012,4/13/2012,4.2849,2.4164,1,400000,social,0,1,0,0,0,0,3.0,1,acquired
Nordic Windpower,Berkeley,1/1/2007,4/10/2013,10/2/2007,1/5/2010,0.7507,,3,54000000,cleantech,1,0,0,0,1,0,2.6667,1,closed
Visiprise,Alpharetta,1/1/1985,5/3/2009,10/17/2005,10/17/2005,20.8055,,1,32000000,software,0,0,0,1,0,0,7.0,1,closed
Hubspan,Seattle,1/1/2000,,10/14/2005,10/14/2005,5.789,,1,13000000,software,0,0,0,0,0,1,4.0,1,acquired
iConclude,Bellevue,1/1/2005,,2/1/2005,4/10/2006,0.0849,,3,12500000,software,1,0,1,1,0,0,2.3333,1,acquired
41st Parameter,San Jose,1/1/2004,,5/8/2006,4/11/2012,2.3507,1.0027,4,38064570,security,1,0,0,1,1,1,3.0,1,acquired
Aardvark,San Francisco,7/1/2007,9/1/2011,1/1/2007,10/1/2008,-0.4959,2.1726,2,6000000,web,0,1,1,0,0,0,4.0,1,acquired
Hotelicopter,Charlottesville,6/1/2006,8/1/2012,11/17/2008,3/31/2011,2.4658,0.5863,2,5000000,web,0,0,1,1,0,0,1.0,0,closed
Anystream,Dulles,1/1/2000,,1/1/2000,2/7/2007,0.0,6.0055,3,59000000,software,1,0,0,0,1,0,2.0,1,acquired
CakeStyle,Chicago,8/1/2011,8/1/2013,8/13/2012,8/13/2012,1.0356,0.0,1,1000000,web,0,1,0,0,0,0,1.0,0,closed
Fluther,San Francisco,1/1/2007,,9/21/2009,9/21/2009,2.7233,0.9151,1,600000,web,0,1,0,0,0,0,7.0,1,acquired
Pocket Communications Northeast,Bloomfield,1/1/2006,1/1/2012,11/1/2008,2/20/2009,2.8356,3.3781,2,125000000,mobile,0,0,1,1,0,0,2.0,1,closed
Goodreads,Santa Monica,1/15/2007,,11/1/2007,12/9/2009,0.7945,3.0493,2,2750000,web,0,1,1,0,0,0,4.0,1,acquired
Woven Systems,Santa Clara,1/1/2003,,12/1/2005,9/25/2007,2.9178,,2,30000000,network_hosting,0,0,1,1,0,0,2.5,1,acquired
Kolorific,Milpitas,1/1/2003,7/7/2012,1/5/2007,1/5/2007,4.0137,,1,7000000,semiconductor,0,0,0,0,1,0,1.0,0,closed
Krugle,Menlo Park,1/1/2006,,5/31/2006,5/31/2006,0.411,0.0,1,6100000,search,0,0,0,1,0,0,4.0,1,acquired
Flud,San Diego,10/1/2010,8/8/2013,4/13/2011,9/1/2012,0.5315,2.2548,3,2100000,enterprise,1,1,0,0,0,0,4.0,1,closed
Chomp,San Francisco,9/9/2009,,11/1/2009,3/11/2010,0.1452,0.4959,2,2565000,mobile,0,1,1,0,0,0,3.5,1,acquired
Origen Therapeutics,Burlingame,1/1/1997,8/3/2012,10/3/2007,10/3/2007,10.7589,,1,2000000,biotech,0,0,0,0,0,0,1.0,0,closed
Inlet Technologies,Raleigh,1/1/2003,,7/26/2005,9/8/2008,2.5671,2.0027,3,22400000,network_hosting,1,0,0,1,1,0,3.6667,1,acquired
ShopWiki,New York,6/1/2005,,7/1/2006,7/1/2006,1.0822,6.0027,1,6250000,ecommerce,0,0,1,0,0,0,1.0,0,acquired
Fondu,New York,2/1/2010,,11/1/2011,11/1/2011,1.7479,1.0,1,575000,web,0,1,0,0,0,0,6.0,0,acquired
Loudcaster,Somerville,8/1/2009,1/1/2012,8/1/2009,3/1/2010,0.0,0.0,2,53000,web,0,1,0,0,0,0,1.0,1,closed
TwoFish,Redwood City,1/1/2006,,12/1/2006,10/10/2008,0.9151,3.0027,2,9500000,ecommerce,0,0,1,1,0,0,2.5,1,acquired
Workstreamer,Austin,10/1/2009,6/1/2013,1/1/2009,7/27/2010,-0.7479,-1.7507,2,3500000,enterprise,0,1,1,0,0,0,1.0,1,closed
Qwiki,New York,10/1/2009,,7/10/2010,3/31/2011,0.7726,-0.5863,3,10500000,photo_video,1,0,1,0,0,0,6.3333,1,acquired
Redwood Systems,Fremont,1/1/2008,,10/3/2008,5/30/2012,0.7562,2.7836,4,34250000,cleantech,1,0,1,1,1,0,2.25,1,acquired
Artisan Pharma,Waltham,1/1/2006,,9/6/2006,7/20/2010,0.6795,,5,85381111,biotech,0,0,1,1,1,0,4.6667,1,acquired
Bill Me Later,Timonium,1/1/2000,,3/1/2006,12/1/2007,6.1671,8.0055,3,100000000,web,1,0,1,0,0,0,2.5,1,acquired
Bueda,Pittsburgh,1/4/2009,6/1/2013,1/1/2008,7/1/2010,-1.011,0.4055,2,125000,advertising,1,1,0,0,0,0,1.0,1,closed
Defywire,Reston,1/1/2003,5/1/2008,4/26/2005,3/27/2007,2.3178,-0.3342,2,10600000,mobile,1,0,0,1,0,0,3.0,1,closed
Silicon Clocks,Fremont,1/1/2004,,6/2/2006,6/8/2009,2.4192,2.0027,3,26100000,semiconductor,1,0,0,1,0,0,3.5,1,acquired
TheMarkets,New York,1/1/2000,,7/12/2007,7/12/2007,7.5315,10.7342,1,30000000,web,1,0,0,0,0,0,5.0,1,acquired
Netgamix Inc,Chicago,9/24/2010,4/3/2012,10/15/2011,7/1/2012,1.0575,1.0301,3,132885,games_video,0,1,0,0,0,0,1.0,1,closed
Sentrigo,Santa Clara,10/1/2006,,5/8/2007,12/21/2010,0.6,-0.7479,3,9500000,software,0,0,1,1,1,0,2.0,1,acquired
Netli,Palo Alto,1/1/2000,,2/13/2006,2/13/2006,6.1233,6.0055,1,18000000,network_hosting,1,0,0,0,0,0,7.0,1,acquired
Define My Style,Cincinnati,2/1/2010,1/1/2012,12/2/2011,12/2/2011,1.8329,1.7479,1,690000,web,0,1,0,0,0,0,3.0,1,closed
Firethorn,Atlanta,1/1/2001,,3/1/2006,1/2/2007,5.1644,,3,25131611,mobile,1,0,0,1,0,0,1.0,1,acquired
Wellcore,San Jose,1/1/2007,7/1/2013,7/12/2010,7/12/2010,3.5288,,1,2000000,hardware,0,0,0,0,0,0,1.0,1,closed
Taligen Therapeutics,Cambridge,1/1/2004,,8/1/2005,8/23/2010,1.5836,5.0055,3,78750000,biotech,0,0,1,1,0,0,3.5,1,acquired
Adap.tv,San Mateo,11/1/2006,,2/1/2007,3/28/2011,0.2521,3.3151,5,48500000,advertising,1,1,1,1,1,0,2.5,1,acquired
Current Media,San Francisco,1/1/2005,8/20/2013,7/29/2005,7/29/2005,0.5726,5.1671,1,15000000,network_hosting,0,0,1,0,0,0,3.0,0,closed
ParAccel,Campbell,1/1/2007,,12/10/2007,4/25/2012,0.9397,,5,74000000,analytics,1,0,0,1,1,0,5.3333,1,acquired
Arch Rock Corporation,San Francisco,1/1/2005,,10/1/2005,5/2/2007,0.7479,2.0,2,15000000,software,0,0,1,1,0,0,3.0,1,acquired
SpiralFrog,New York,1/1/2004,3/20/2009,1/1/2006,12/1/2007,2.0027,3.0027,3,45000000,games_video,0,0,1,0,0,0,1.0,0,closed
Plusmo,Santa Clara,6/1/2006,,5/1/2008,5/1/2008,1.9178,2.0027,1,4410000,mobile,0,0,1,0,0,0,1.0,1,acquired
ZipList,Sterling,1/1/2010,,1/1/2010,11/24/2010,0.0,2.0,2,4500000,web,0,0,1,1,0,0,2.0,1,acquired
Involver,San Francisco,1/1/2007,,9/2/2008,10/14/2010,1.6712,4.6685,3,11040000,software,0,0,1,1,1,0,2.5,1,acquired
Lionside,San Francisco,1/1/2009,,11/19/2010,11/19/2010,1.8822,1.3288,1,1600000,games_video,0,0,1,0,0,0,3.0,1,acquired
Game Trust,New York,1/1/2002,,6/1/2005,11/15/2005,3.4164,7.7534,2,9000000,software,1,0,0,1,0,0,4.0,1,acquired
Nearbuy Systems,San Mateo,4/1/2010,,7/21/2011,11/23/2012,1.3041,0.0,3,3282327,analytics,1,0,0,0,0,0,2.0,1,acquired
Visible Path,Foster City,1/1/2002,,3/1/2006,3/1/2006,4.1644,5.5836,2,24700000,web,0,0,1,1,0,0,4.0,1,acquired
VT Silicon,Atlanta,1/1/2002,9/20/2010,9/12/2007,11/19/2008,5.6986,,2,8800000,semiconductor,1,0,1,0,0,0,1.0,1,closed
GetBack,Los Angeles,9/1/2007,11/22/2010,11/6/2008,11/6/2008,1.1836,0.9178,1,1700000,web,0,0,1,0,0,0,1.0,0,closed
Slipstream,Oakland,6/1/2010,5/1/2013,8/31/2010,8/31/2010,0.2493,0.0,1,20000,web,0,1,0,0,0,0,1.0,0,closed
HipLogic,Fremont,1/1/2005,,2/8/2008,12/2/2009,3.1041,5.0027,2,11500000,mobile,0,0,1,1,0,0,2.5,1,acquired
Dilithium Networks,Petaluma,1/1/2001,10/1/2012,4/23/2003,6/3/2010,2.3068,4.4986,7,98170000,mobile,1,0,0,1,1,1,5.2,1,closed
Yobongo,San Francisco,1/1/2010,,3/23/2011,3/23/2011,1.2219,0.7479,1,1350000,web,0,1,0,0,0,0,10.0,1,acquired
Brickfish,Chicago,11/1/2005,,7/16/2010,7/16/2010,4.7068,2.989,1,940261,software,0,0,1,0,0,0,1.0,1,acquired
MyEnergy,Boston,6/4/2007,,2/1/2009,2/3/2011,1.6658,3.6658,2,4000000,web,0,1,1,0,0,0,3.0,1,acquired
LikeList,Sunnyvale,1/1/2008,12/6/2012,12/15/2009,12/15/2009,1.9562,1.0027,1,5000000,web,0,0,1,0,0,0,1.0,0,closed
Social Collective,Arlington,4/17/2009,3/6/2012,4/18/2009,4/18/2009,0.0027,0.5836,1,20000,web,0,1,0,0,0,0,1.0,0,closed
Pure Networks,Seattle,1/1/2002,,1/11/2006,1/11/2006,4.0301,3.0027,1,12500000,network_hosting,0,0,0,1,0,0,3.0,1,acquired
Internet Pawn,Centennial,1/1/2009,3/1/2013,5/5/2010,8/27/2013,1.3397,1.3589,5,7228704,finance,1,0,1,0,0,0,2.0,1,closed
NeuroTherapeutics Pharma,Chicago,1/1/2006,6/1/2013,5/20/2010,12/15/2011,4.3836,5.4986,2,55000000,biotech,1,0,0,1,0,0,4.0,1,closed
Provade,San Mateo,1/1/2004,,1/23/2006,8/11/2010,2.063,,4,15180000,enterprise,1,0,1,0,1,0,1.0,1,acquired
Infineta Systems,San Jose,1/1/2008,1/1/2012,5/7/2010,6/6/2011,2.3479,2.3562,2,30000000,software,0,0,1,1,0,0,2.5,1,closed
Challenge Games,Austin,1/1/2006,,7/10/2008,9/1/2008,2.5233,3.0027,2,14500000,network_hosting,0,0,1,1,0,0,1.5,1,acquired
Crowd Factory,San Francisco,1/1/2009,,1/26/2011,1/26/2011,2.0685,2.5808,1,6500000,advertising,1,0,0,0,0,0,3.0,1,acquired
Friendsignia,Memphis,1/29/2012,6/1/2013,1/29/2012,1/29/2012,0.0,0.0,1,15000,web,0,1,0,0,0,0,1.0,0,closed
Vizibility,New York,7/1/2009,,3/24/2010,2/6/2013,0.7288,1.589,5,4705910,mobile,1,1,0,0,0,0,3.0,1,acquired
OpenFeint,Burlingame,1/1/2008,,10/21/2010,10/21/2010,2.8055,3.0027,1,3000000,games_video,1,0,0,0,0,0,1.0,1,acquired
Tumblr,New York,2/1/2007,,10/31/2007,1/1/2012,0.7452,3.0438,6,125250000,web,1,0,1,1,1,1,3.5,1,acquired
Hotlist,New York,1/1/2008,5/1/2013,5/1/2008,1/1/2012,0.3315,2.3644,4,1449998,social,1,1,0,0,0,0,1.0,1,closed
Crashlytics,Cambridge,2/1/2011,,10/13/2011,4/10/2012,0.6959,0.6630000000000000,2,6000000,mobile,0,1,1,0,0,0,6.0,1,acquired
BridgePoint Medical,Plymouth,1/1/2005,,1/23/2007,3/25/2011,2.0603,,3,28200000,medical,1,0,0,1,1,0,3.0,1,acquired
Recurve,San Francisco,8/1/2005,,9/23/2008,6/17/2010,3.1479,5.0027,2,14000000,software,1,0,1,0,0,0,2.0,1,acquired
Conformity,Austin,7/1/2007,1/1/2009,1/28/2009,1/28/2009,1.5808,2.2521,1,3000000,enterprise,0,0,1,0,0,0,1.0,0,closed
Moprise,Seattle,1/1/2010,7/1/2013,7/8/2011,10/7/2011,1.5151,0.7479,2,2238055,enterprise,1,1,0,0,0,0,1.0,1,closed
Plizy,San Francisco,9/1/2010,6/1/2013,5/19/2011,12/13/2012,0.7123,1.9507,2,5200000,photo_video,1,0,1,0,0,0,1.0,1,closed
ShopRunner,Conshohocken,1/1/2010,,8/19/2013,8/19/2013,3.6329,1.1479,1,75000000,ecommerce,1,0,0,0,0,0,1.0,0,acquired
